,wavelength,flux_spec
227,2844461.0355907837,17139950117625.766
228,2828785.316509,17337585014066.19
229,2813195.9857326513,17540756783479.459
230,2797692.5671789893,17747940908530.605
231,2782274.5873889504,17958455327041.86
232,2766941.5755126853,18164088793293.56
233,2751693.0632951735,18370846511564.285
234,2736528.5850619366,18583039353559.37
235,2721447.6777048116,18796690538463.64
236,2706449.880667803,19011367025944.195
237,2691534.735933027,19226179107566.637
238,2676701.7880067127,19443479291043.297
239,2661950.583905308,19665791567045.094
240,2647280.6731416243,19884512086142.246
241,2632691.6077111037,20100170334297.23
242,2618182.9420781187,20321608366268.84
243,2603754.2331623686,20545766664918.652
244,2589405.0403253566,20769441088379.535
245,2575134.925356931,20997193966607.996
246,2560943.452461894,21228350873702.38
247,2546830.188246697,21449403404921.793
248,2532794.7017062143,21670156932344.766
249,2518836.564210573,21896241829243.78
250,2504955.349492057,22119779036014.02
251,2491150.6336321,22339842211196.906
252,2477421.9950483395,22552908777668.258
253,2463769.0144817266,22764076185963.96
254,2450191.274983744,22973205000008.066
255,2436688.3619036553,23184810920862.543
256,2423259.8628758555,23398906338605.316
257,2409905.367807262,23609074893857.418
258,2396624.4688648083,23816799706404.13
259,2383416.76046298,24018486422211.562
260,2370281.839251422,24218680353799.926
261,2357219.3041026355,24417809758300.32
262,2344228.7560997205,24615667244565.24
263,2331309.7985241855,24814889603824.535
264,2318462.036843851,25018107473206.168
265,2305685.078700779,25219902699811.793
266,2292978.5338993105,25419769299072.96
267,2280342.014394131,25619268564361.383
268,2267775.1342784376,25818712760380.332
269,2255277.5097721447,26016344845870.484
270,2242848.7592101563,26210180388257.773
271,2230488.5030307276,26400720581613.754
272,2218196.3637638637,26599545575943.42
273,2205971.966019784,26800922156142.594
274,2193814.936477481,26999304988110.926
275,2181724.903873291,27195898624105.793
276,2169701.498989581,27390625125287.145
277,2157744.354643457,27579876032862.594
278,2145853.105675559,27768320576269.684
279,2134027.3889389085,27957418082226.812
280,2122266.8432878093,28147830953714.7
281,2110571.109566833,28338822149658.066
282,2098939.830599842,28522395984095.074
283,2087372.6511790804,28705025019581.19
284,2075869.2180543288,28889639362674.715
285,2064429.1799221197,29073698980948.508
286,2053052.1874150075,29256658513914.844
287,2041737.8930908896,29435402205180.742
288,2030485.951422412,29614446240472.695
289,2019296.0187864073,29797879147722.64
290,2008167.7534533988,29974244222653.96
291,1997100.8155771738,30144177901738.78
292,1986094.8671843929,30318766772483.656
293,1975149.5721642831,30494052749704.41
294,1964264.5962583562,30665208470587.766
295,1953439.6070502182,30833896331868.293
296,1942674.2739554085,31000188792492.76
297,1931968.2682112986,31161662865298.152
298,1921321.2628670642,31322036370481.39
299,1910732.9327736974,31482260716781.477
300,1900202.9545740657,31643416990122.83
301,1889731.0066930552,31805363038391.945
302,1879316.7693277313,31964910424727.56
303,1868959.924437591,32122276319774.945
304,1858660.1557348324,32274439780500.47
305,1848417.1486747086,32425408645623.22
306,1838230.5904459187,32575205098022.68
307,1828100.169961046,32719450177846.523
308,1818025.5778470715,32861770751622.617
309,1808006.50643592,33001843403714.918
310,1798042.6497550567,33139692464953.906
311,1788133.7035181585,33275558242939.68
312,1778279.3651158055,33414127109459.375
